# frac_edges grid for p_c=0.2
# Valid region: n0 > m
# Generated: 2026-02-17T14:55:08.591374
m,n0,frac_edges,valid
1,10,1.0,True
3,10,0.0,True
5,10,0.05601194921583271,True
7,10,0.0,True
9,10,0.0,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,0.7809065934065934,True
3,20,0.7001431297709924,True
5,20,0.06417939300212643,True
7,20,0.04425032221108406,True
9,20,0.03714218121599243,True
11,20,0.028881898770374607,True
13,20,0.0,True
15,20,0.01735408110140568,True
17,20,0.021501203135915546,True
19,20,0.0,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,0.6919191919191919,True
3,30,0.6687268232385661,True
5,30,0.0,True
7,30,0.04272048224348054,True
9,30,0.0,True
11,30,0.03228207275095358,True
13,30,0.019245847886520777,True
15,30,0.015940488841657812,True
17,30,0.014899553571428572,True
19,30,0.012920023580271172,True
21,30,0.012748358488957107,True
23,30,0.0,True
25,30,0.009854358379827548,True
27,30,0.010006432706740048,True
29,30,0.008444019846528398,True
31,30,,False
33,30,,False
1,40,0.8257978723404256,True
3,40,0.7782963827304551,True
5,40,0.6673691605198454,True
7,40,0.048888187982967984,True
9,40,0.5766633455109045,True
11,40,0.02301685162351007,True
13,40,0.024344885883347423,True
15,40,0.02326892109500805,True
17,40,0.023383768913342505,True
19,40,0.01463963963963964,True
21,40,0.013057369079038756,True
23,40,0.011353971763905426,True
25,40,0.008463644086461317,True
27,40,0.009029649595687332,True
29,40,0.009033670955379141,True
31,40,0.009485190409026798,True
33,40,0.007217043941411452,True
1,50,0.0,True
3,50,0.0,True
5,50,0.6242320819112628,True
7,50,0.555721207603429,True
9,50,0.0,True
11,50,0.4314916673507922,True
13,50,0.0,True
15,50,0.01952450524638066,True
17,50,0.015021675572134288,True
19,50,0.014976208364638116,True
21,50,0.0,True
23,50,0.010888252148997135,True
25,50,0.013219461227456503,True
27,50,0.0,True
29,50,0.006928854521770461,True
31,50,0.006761722769366456,True
33,50,0.007913887204366282,True
1,60,0.875,True
3,60,0.7958092794526406,True
5,60,0.06731565865782933,True
7,60,0.5296892006288547,True
9,60,0.04160725858716786,True
11,60,0.42990505066624113,True
13,60,0.0,True
15,60,0.021935007385524372,True
17,60,0.017680826636050518,True
19,60,0.0,True
21,60,0.3134570765661253,True
23,60,0.011384139530887533,True
25,60,0.012556663644605622,True
27,60,0.01102173408616289,True
29,60,0.0073037638169861484,True
31,60,0.009956942949407965,True
33,60,0.006070511323838431,True
1,70,0.689145793192036,True
3,70,0.6385753699523451,True
5,70,0.06752286437050009,True
7,70,0.5364604953646049,True
9,70,0.03260869565217391,True
11,70,0.02912710007304602,True
13,70,0.39255652747978215,True
15,70,0.3534233649820133,True
17,70,0.31922070076520337,True
19,70,0.29800096727389974,True
21,70,0.0,True
23,70,0.2710560625814863,True
25,70,0.01270764119601329,True
27,70,0.010538033395176252,True
29,70,0.008808977917219742,True
31,70,0.006098058966052323,True
33,70,0.006698911103639138,True
1,80,0.5554123711340206,True
3,80,0.0,True
5,80,0.0,True
7,80,0.49354879118126016,True
