# Network edges data
# Layout: spring
# N: 5004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-10T10:09:12.461156
source,target,source_type,target_type
0,2,Type b,Type b
0,3,Type b,Type b
0,1,Type b,Type b
1,0,Type b,Type b
1,2,Type b,Type b
1,3,Type b,Type b
2,1,Type b,Type b
2,3,Type b,Type b
2,0,Type b,Type b
3,2,Type b,Type b
3,1,Type b,Type b
3,0,Type b,Type b
4,3,Type b,Type b
4,2,Type b,Type b
4,0,Type b,Type b
5,0,Type b,Type b
5,4,Type b,Type b
5,2,Type b,Type b
6,3,Type b,Type b
6,0,Type b,Type b
6,5,Type b,Type b
7,5,Type b,Type b
7,6,Type b,Type b
7,3,Type b,Type b
8,7,Type a,Type b
8,3,Type a,Type b
8,4,Type a,Type b
9,4,Type b,Type b
9,3,Type b,Type b
9,2,Type b,Type b
10,6,Type b,Type b
10,8,Type b,Type a
10,0,Type b,Type b
11,5,Type b,Type b
11,1,Type b,Type b
11,6,Type b,Type b
12,5,Type b,Type b
12,0,Type b,Type b
12,1,Type b,Type b
13,5,Type b,Type b
13,1,Type b,Type b
13,0,Type b,Type b
14,2,Type b,Type b
14,4,Type b,Type b
14,0,Type b,Type b
15,2,Type b,Type b
15,13,Type b,Type b
15,3,Type b,Type b
16,3,Type b,Type b
16,1,Type b,Type b
16,10,Type b,Type b
17,9,Type b,Type b
17,4,Type b,Type b
17,6,Type b,Type b
18,1,Type b,Type b
18,13,Type b,Type b
18,14,Type b,Type b
19,1,Type b,Type b
19,2,Type b,Type b
19,3,Type b,Type b
20,2,Type b,Type b
20,16,Type b,Type b
20,18,Type b,Type b
21,15,Type a,Type b
21,20,Type a,Type b
21,4,Type a,Type b
22,14,Type b,Type b
22,4,Type b,Type b
22,0,Type b,Type b
23,4,Type b,Type b
23,1,Type b,Type b
23,14,Type b,Type b
24,6,Type b,Type b
24,23,Type b,Type b
24,7,Type b,Type b
25,0,Type b,Type b
25,3,Type b,Type b
25,16,Type b,Type b
26,16,Type b,Type b
26,25,Type b,Type b
26,12,Type b,Type b
27,3,Type b,Type b
27,12,Type b,Type b
27,18,Type b,Type b
28,3,Type b,Type b
28,22,Type b,Type b
28,2,Type b,Type b
