# Network edges data
# Layout: spring
# N: 104, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-02-18T18:29:24.103975
source,target,source_type,target_type
0,2,Type a,Type a
0,3,Type a,Type b
0,1,Type a,Type b
1,0,Type b,Type a
1,2,Type b,Type a
1,3,Type b,Type b
2,1,Type a,Type b
2,3,Type a,Type b
2,0,Type a,Type a
3,2,Type b,Type a
3,1,Type b,Type b
3,0,Type b,Type a
4,3,Type b,Type b
4,2,Type b,Type a
4,0,Type b,Type a
5,0,Type b,Type a
5,3,Type b,Type b
5,2,Type b,Type a
6,3,Type a,Type b
6,0,Type a,Type a
6,4,Type a,Type b
7,5,Type b,Type b
7,6,Type b,Type a
7,2,Type b,Type a
8,7,Type a,Type b
8,2,Type a,Type a
8,3,Type a,Type b
9,3,Type b,Type b
9,2,Type b,Type a
9,5,Type b,Type b
10,8,Type b,Type a
10,0,Type b,Type a
10,4,Type b,Type b
11,1,Type b,Type b
11,5,Type b,Type b
11,3,Type b,Type b
12,0,Type b,Type a
12,1,Type b,Type b
12,2,Type b,Type a
13,1,Type b,Type b
13,0,Type b,Type a
13,10,Type b,Type b
14,3,Type a,Type b
14,0,Type a,Type a
14,2,Type a,Type a
15,12,Type a,Type b
15,2,Type a,Type a
15,1,Type a,Type b
16,7,Type a,Type b
16,13,Type a,Type b
16,5,Type a,Type b
17,4,Type a,Type b
17,1,Type a,Type b
17,12,Type a,Type b
18,5,Type b,Type b
18,0,Type b,Type a
18,1,Type b,Type b
19,16,Type a,Type a
19,1,Type a,Type b
19,13,Type a,Type b
20,0,Type b,Type a
20,12,Type b,Type b
20,19,Type b,Type a
21,3,Type a,Type b
21,10,Type a,Type b
21,2,Type a,Type a
22,1,Type a,Type b
22,2,Type a,Type a
22,0,Type a,Type a
23,10,Type a,Type b
23,13,Type a,Type b
23,3,Type a,Type b
24,4,Type b,Type b
24,0,Type b,Type a
24,2,Type b,Type a
25,7,Type b,Type b
25,12,Type b,Type b
25,24,Type b,Type b
26,5,Type b,Type b
26,1,Type b,Type b
26,6,Type b,Type a
27,16,Type b,Type a
27,2,Type b,Type a
27,18,Type b,Type b
28,13,Type a,Type b
28,23,Type a,Type a
28,12,Type a,Type b
29,1,Type a,Type b
29,9,Type a,Type b
29,27,Type a,Type b
30,2,Type b,Type a
30,9,Type b,Type b
30,3,Type b,Type b
31,11,Type a,Type b
31,3,Type a,Type b
31,20,Type a,Type b
32,2,Type b,Type a
32,3,Type b,Type b
32,7,Type b,Type b
33,2,Type b,Type a
33,16,Type b,Type a
33,13,Type b,Type b
34,1,Type a,Type b
34,3,Type a,Type b
34,20,Type a,Type b
35,17,Type b,Type a
35,24,Type b,Type b
35,23,Type b,Type a
36,10,Type a,Type b
36,3,Type a,Type b
36,17,Type a,Type a
37,1,Type a,Type b
37,35,Type a,Type b
37,30,Type a,Type b
38,32,Type b,Type b
38,18,Type b,Type b
38,4,Type b,Type b
39,11,Type b,Type b
39,24,Type b,Type b
39,1,Type b,Type b
40,18,Type a,Type b
40,2,Type a,Type a
40,3,Type a,Type b
41,20,Type b,Type b
41,5,Type b,Type b
41,1,Type b,Type b
42,1,Type a,Type b
42,18,Type a,Type b
42,23,Type a,Type a
43,18,Type b,Type b
43,32,Type b,Type b
43,22,Type b,Type a
44,1,Type b,Type b
44,3,Type b,Type b
44,2,Type b,Type a
45,8,Type a,Type a
45,3,Type a,Type b
45,19,Type a,Type a
46,30,Type a,Type b
46,8,Type a,Type a
46,31,Type a,Type a
47,1,Type a,Type b
47,17,Type a,Type a
47,5,Type a,Type b
48,1,Type a,Type b
48,2,Type a,Type a
48,13,Type a,Type b
49,8,Type b,Type a
49,31,Type b,Type a
49,3,Type b,Type b
50,5,Type b,Type b
50,9,Type b,Type b
50,34,Type b,Type a
51,9,Type a,Type b
51,1,Type a,Type b
51,23,Type a,Type a
52,17,Type b,Type a
52,38,Type b,Type b
52,29,Type b,Type a
53,0,Type a,Type a
53,43,Type a,Type b
53,13,Type a,Type b
