# Linear-scale discrete degree distribution
# Node type: a, n=119994
# N: 200003, m: 2
# Theories: Diamond, Sterling
# Generated: 2026-02-17T21:01:35.965381
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.5005250262513126,0.49916737309841547,1.5390988512127055
1,0.19948497424871245,0.2015473839685495,0.4607573780462318
2,0.10143007150357518,0.100887018463672,0.19416372338036025
3,0.057427871393569675,0.05753775218842349,0.09896873231073881
4,0.03609347134023368,0.03584471887226038,0.0569586612003262
5,0.02407620381019051,0.0238058483761392,0.03566329117666579
6,0.01634248379085621,0.016597350447249987,0.023756413572179072
7,0.011417237528543093,0.012021957535770103,0.016593814948090545
8,0.009358801273397003,0.00898041000958735,0.01203383136773528
9,0.007033685017584212,0.0068810227286815046,0.008996371625816381
10,0.005166925012917312,0.0053860219531905165,0.006896866452002344
11,0.003883527509708819,0.004293022184261444,0.005400306757296488
12,0.0035418437588546096,0.0034757391814501594,0.004305397564181145
13,0.0030751537576878844,0.002852607002580837,0.003486272764358904
14,0.002425121256062803,0.0023693523768215,0.002861508560298914
15,0.00200010000500025,0.0019889145034221014,0.002376861146062749
16,0.0017667550044168875,0.0016854031863895145,0.001995255462290763
17,0.001375068753437672,0.0014403630731158151,0.0016907726273759358
18,0.0013834025034585062,0.0012403994399922996,0.0014449263676610683
19,0.0010167175025417937,0.001075631928611296,0.001244293526208824
20,0.0009750487524376219,0.0009386651854976135,0.0010789692788824119
21,0.0005833625014584063,0.0008238899318002184,0.0009415378924093105
22,0.0007750387519375969,0.0007269998166740261,0.000826373391513808
23,0.0006500325016250812,0.0006446519424511683,0.0007291558588421026
24,0.0006333650015834125,0.0005742247535195887,0.0006465314112629539
25,0.00048335750120839376,0.0005136429829947791,0.0005758696026019159
26,0.0004083537510208844,0.00046124947651385377,0.0005150879618837616
27,0.00045002250112505623,0.0004157102384868772,0.00046252348336553505
28,0.0004916912512292281,0.00037594332446958364,0.0004168374041285028
29,0.0003416837508542094,0.00034106505255293085,0.00037694388192283253
30,0.00040002000100005,0.0003103489320238576,0.00034195603590084114
31,0.00029168125072920315,0.00028319402636277466,0.000311144739673523
32,0.00026668000066670003,0.00025910038247795535,0.00028390687649156146
33,0.00020834375052085938,0.00023764980022190088,0.00025974068260772295
34,0.00026668000066670003,0.00021849067198779446,0.00023822644822855314
35,0.00028334750070836874,0.0002013259490269967,0.00021901130220136004
36,0.00021667750054169376,0.00018590352782473955,0.00020179713421174266
37,0.0001666750004166875,0.00017200852287108172,0.00018633094558392582
38,0.00013334000033335001,0.0001594570197123403,0.00017239709326162983
39,0.00012500625031251563,0.00014809099698307411,0.00015981101947450216
40,0.00021667750054169376,0.0001377741771512513,0.00014841415470493032
41,0.00010833875027084688,0.00012838861931969547,0.00013806975283259956
42,0.00011667250029168125,0.00011983190817298136,0.00012865947112374783
43,0.00011667250029168125,0.00011201482433514336,0.000120080548618185
